nome_empresa,setor,segmento_especifico,site_rede_social,evidencia_plano,evidencia_porte,nivel_confianca,fontes,cargo_alvo_linkedin
AZZ Agência de Marketing Digital,Agências de Marketing,"Marketing digital, redes sociais, tráfego pago",azzagencia.com.br,Sem tabela pública de preços confirmada,"+15 anos de mercado, atende clientes em 16 países",Baixa,azzagencia.com.br/sobre-a-agencia; azzagencia.com.br,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Agência de Tráfego Pago,Agências de Marketing,Tráfego pago (Google/Meta/LinkedIn Ads),agenciadetrafegopago.com.br,Sem tabela pública de preços confirmada,"+750 clientes atendidos, 13+ anos de mercado, múltiplas unidades regionais (SP, Salvador, Cascavel, Guarulhos)",Baixa-média,agenciadetrafegopago.com.br; agenciadetrafegopago.com.br/trafego-pago,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Pipefy,SaaS B2B,Automação/orquestração de processos (BPM no-code),pipefy.com,Planos Starter (grátis)/Business US$33/user/mês/Enterprise US$65/user/mês (pipefy.com/pricing),"Total captado US$149M, Series C de US$85M liderada por SoftBank (2021), ~547 funcionários",Alta,pipefy.com/pricing; tracxn.com/d/companies/pipefy; crunchbase.com/funding_round/pipefy-series-c,CEO/Fundador; CRO/VP Sales; Head de Marketing
Superlógica,SaaS B2B,"ERP vertical (condomínios, imobiliárias, assinaturas)",superlogica.com,Planos por segmento com preços mensais (superlogica.com/planos),"R$300M (Warburg Pincus, 2020) + R$150M adicional (2023); empresa lucrativa",Alta,superlogica.com/superlogica-recebe-investimento; neofeed.com.br/negocios/superlogica-atrai-mais-r-150-milhoes-da-warburg-pincus,CEO/Fundador; CRO/VP Sales; Head de Marketing
Onfly,SaaS B2B,Gestão de viagens e despesas corporativas,onfly.com.br,"Planos Starter (R$19,90/usuário/mês) e Premium (R$15,90/usuário/mês) (onfly.com.br/planos)",Rodada Série B de R$240M/US$40M liderada pela Tidemark (2025),Alta,onfly.com.br/planos; diariodocomercio.com.br/negocios/onfly-plataforma-gestao-viagens-captou-r-240-milhoes,CEO/Fundador; CRO/VP Sales; Head de Marketing
Sólides,SaaS B2B,HRTech (RH e departamento pessoal para PMEs),solides.com.br,Planos com preços mensais (solides.com.br/planos-e-precos-completos),Série B de R$530M com Warburg Pincus (maior aporte em HRTech da América Latina); +45 mil clientes,Alta,solides.com.br/planos-e-precos-completos; gescontreinamentos.com.br/solides-hrtech-das-pmes-recebe-investimento,CEO/Fundador; CRO/VP Sales; Head de Marketing
Movidesk (Zenvia Customer Cloud),SaaS B2B,Help desk / atendimento ao cliente (ticketing),movidesk.com,Página de preços e planos (movidesk.com/precos-e-planos),"Adquirida pela Zenvia por ~R$400-616M, avaliada a ~10x o ARR anual; 3 mil clientes",Alta,movidesk.com/precos-e-planos; braziljournal.com/zenvia-compra-movidesk-robustecendo-sua-plataforma-de-cx,CEO/Fundador; CRO/VP Sales; Head de Marketing
Rock Content,SaaS B2B,Marketing de conteúdo / content experience platform,rockcontent.com,"Planos a partir de R$599/mês, ticket médio ~R$1.100/mês","Série B de US$30M (2021, Unbox Capital/BTG/Crescera); +2 mil clientes globais",Média-Alta,bloomberglinea.com.br/2021/10/22/rock-content-levanta-us-30-mi; rockcontent.com/br/blog/historia-rock-content,CEO/Fundador; CRO/VP Sales; Head de Marketing
Auvo,SaaS B2B,Gestão de equipes externas / field service,auvo.com,Planos por nº de usuários (até R$1.600/mês para 100 usuários),"+4 mil empresas clientes, +40 mil usuários ativos, listada entre as 200 empresas de crescimento mais rápido do Brasil",Média-Alta,auvo.com; getapp.com/operations-management-software/a/auvo,CEO/Fundador; CRO/VP Sales; Head de Marketing
Octadesk,SaaS B2B,Atendimento conversacional (helpdesk/chat),octadesk.com,Planos Lake/River/Sea/Ocean (octadesk.com/planos-e-precos),Adquirida pela Locaweb por R$102M (2021),Média-Alta,octadesk.com/planos-e-precos; socialhub.pro/blog/octadesk-preco-e-planos-2026-comparativo-custo-beneficio,CEO/Fundador; CRO/VP Sales; Head de Marketing
ContaAzul,SaaS B2B,ERP/gestão financeira para PMEs,contaazul.com,Planos por porte de empresa (contaazul.com/planos),Processa +480 mil notas fiscais/mês e +19 mil empresas integradas; controle majoritário adquirido por investidor internacional,Média,contaazul.com/planos; capterra.com/p/190255/ContaAzul,CEO/Fundador; CRO/VP Sales; Head de Marketing
Feedz,SaaS B2B,"HRTech (clima, engajamento, avaliação de desempenho)",feedz.com.br,Planos em feedz.com.br/planos,Totvs comprou 60% por R$66M (controle); +1.000 clientes,Média,feedz.com.br/planos; startups.com.br/negocios/totvs-compra-o-controle-da-hrtech-feedz-por-r-66-mi,CEO/Fundador; CRO/VP Sales; Head de Marketing
Mercos,SaaS B2B,Software de força de vendas B2B (indústrias/distribuidoras),mercos.com,Planos Pro/Performance/Enterprise (preços sob consulta),"+6.500 clientes, movimentou R$40 bi em vendas; parte do portfólio da Nuvini (holding SaaS listada na Nasdaq)",Média,mercos.com; br.lexlatin.com/noticias/os-bastidores-da-aquisicao-da-mercos-pela-nuvini,CEO/Fundador; CRO/VP Sales; Head de Marketing
Huggy,SaaS B2B,Atendimento omnichannel (chat/WhatsApp/automação),huggy.io,Plano Avançado R$989-1.239/mês (huggy.io/pt-br/pricing),"""Ecossistema de R$200 milhões"" em 7 países (fonte única, não verificada de forma independente)",Média-Baixa,huggy.io/pt-br/pricing; blog.huggy.io/startup-de-atendimento-digital-tem-expectativa-de-quadruplicar,CEO/Fundador; CRO/VP Sales; Head de Marketing
PipeRun,SaaS B2B,CRM de vendas e funil (CXM),crmpiperun.com,Planos em crmpiperun.com/planos (4 tiers),"+1.100 empresas clientes, 7 mil agentes ativos, investimento próprio de R$10M para crescer 40% em 2026",Média-Baixa,crmpiperun.com/planos; startups.com.br/negocios/com-capital-proprio-piperun-investe-r-10m-para-crescer-40-em-2026,CEO/Fundador; CRO/VP Sales; Head de Marketing
Convenia,SaaS B2B,Software de RH e departamento pessoal,convenia.com.br,Planos Ágil/Integrado/Estratégico a partir de R$300/mês (convenia.com.br/planos),Rodadas com Anjos e Criatec II (valores não divulgados) — porte não confirmado de forma independente,Baixa,convenia.com.br/planos; capterra.com/p/191352/Convenia-HR,CEO/Fundador; CRO/VP Sales; Head de Marketing
mLabs,SaaS B2B,Gestão de redes sociais (social media management),mlabs.io,"Plano a partir de R$29,90/mês por marca (mlabs.io/en/plans)","Alega +200 mil clientes (número autodeclarado, não auditado); volume alto compensaria ticket baixo",Baixa,mlabs.io/en/plans; rdstation.com/blog/marketing/mlabs,CEO/Fundador; CRO/VP Sales; Head de Marketing
Agendor,SaaS B2B,CRM de vendas consultivas B2B,agendor.com.br,Planos a partir de R$59/mês (agendor.com.br/planos-precos),"Apenas rodada anjo pequena (R$1,2M, 2015) identificada; porte provavelmente abaixo do limiar",Baixa,agendor.com.br/planos-precos,CEO/Fundador; CRO/VP Sales; Head de Marketing
Ploomes,SaaS B2B,CRM modular (gestão comercial),ploomes.com,Planos Express/Enterprise/Platinum (R$50 a R$2.659/mês) (ploomes.com/precos),+500 clientes ativos; captações identificadas são pequenas (pré-seed R$1M) — porte incerto,Baixa,ploomes.com/precos; blog.ploomes.com/valor-do-crm,CEO/Fundador; CRO/VP Sales; Head de Marketing
TAG Livros,Clubes de Assinatura,Clube de assinatura de livros (curadoria/lançamentos),site.taglivros.com,"TAG Curadoria R$79,90/mês; TAG Inéditos R$72,90/mês + frete","~35 mil assinantes combinados (2023), pico de 60 mil em 2020; 35k x ~R$76 ≈ R$2,6 mi/mês estimado",Alta,publishnews.com.br/materias/2020/02/12/tag-reporta-crescimento-de-38-em-2019; blog.clubedeautores.com.br/2023/05,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Leiturinha,Clubes de Assinatura,Clube de assinatura de livros infantis,leiturinha.com.br,"R$34,90/mês (1 livro) ou R$54,90/mês (2 livros)",Faturamento de R$137 mi (2024) e projeção de R$200 mi (2025); 340 mil cadastros ativos,Alta,epgrupo.com.br/leiturinha-bate-340-mil-criancas-leitoras-cadastradas; publishnews.com.br/materias/2024/08/16/leiturinha-completa-dez-anos,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Wine.com.br (Clube Wine),Clubes de Assinatura,Clube de assinatura de vinhos,wine.com.br/clubewine,6 modalidades de assinatura (Essenciais a Wine Prime),"445 mil assinantes ativos; clube representa 36% da receita; empresa aberta na B3 (WNBR3), faturou R$576,5 mi até setembro",Alta,folhavitoria.com.br/folha-business/clube-de-assinaturas-puxa-crescimento-da-wine; neofeed.com.br/blog/home/com-brindes-mais-camaradas-a-wine-ganhou-10-mil-novos-assinantes,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Evino Clube (holding Evino/Grand Cru),Clubes de Assinatura,Clube de assinatura de vinhos,clube.evino.com.br,"Evino Fresh R$67,83/mês a Evino Clube Go R$161,46/mês","Holding Evino+Grand Cru faturou R$800 mi/ano, 20 mil assinantes, 1 milhão de clientes ativos (dado da holding)",Média,ajuda.evino.com.br/hc/pt-br/articles/17834233059091-Como-funciona-o-Clube-Evino; linkedin.com/posts/lexbratt_evino-e-grand-cru-anunciam-holding-de-vinhos,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Glambox (B4A),Clubes de Assinatura,Clube de assinatura de beleza/cosméticos,sua.glambox.com.br,Box mensal de cosméticos personalizada,"Mais de 110 mil assinantes ativos (2022), meta de 200 mil; investimento visando faturamento anualizado de R$90 mi",Alta,infomoney.com.br/negocios/apos-reestruturacao-dona-da-glambox-capta-investimento; startse.com/artigos/glambox-como-a-startup-transformou-beleza-em-sucesso-financeiro,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
UAUBox,Clubes de Assinatura,Clube de assinatura de beleza,uaubox.com.br,"Mensal R$99,90; semestral R$89,90/mês; anual R$79,90/mês",Faturou R$25 mi em 2021 (~R$2 mi/mês); 35-40 mil boxes enviadas/mês (jan/2021),Média,startupi.com.br/uaubox-quer-continuar-crescendo-no-mercado-beauty; exame.com/negocios/faturando-23-milhoes-startup-de-jundiai,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Box Magenta,Clubes de Assinatura,Clube de assinatura de maquiagem/skincare (produtos full-size),boxmagenta.com.br,"Planos entre R$179,90 e R$199,90/mês","Faturou R$34 mi em 2025 (~R$2,8 mi/mês); ~20 mil assinantes",Alta,exame.com/negocios/amigos-criam-clube-de-beleza-que-fatura-r-34-mi-e-tem-parceria-com-boca-rosa,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Clube do Malte,Clubes de Assinatura,Clube de assinatura de cerveja artesanal,clubedomalte.com.br,"Planos de R$36,90 a R$84,90/mês",13 mil assinantes; projeção de faturar R$25 mi/ano (~R$2 mi/mês); assinatura responde por >80% do faturamento,Alta,exame.com/pme/a-assinatura-segue-clube-do-malte-projeta-faturar-r-25-mi-apos-aquisicao,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
BOX.Petiko,Clubes de Assinatura,Clube de assinatura pet (petiscos/brinquedos),box.petiko.com.br,"Box mensal personalizada por porte do pet (gato/cão pequeno, médio, grande)","Autodenominado maior clube de assinatura pet do Brasil; grupo Petiko faturou R$30 mi (2024), projeção R$34,5 mi (2025), inclui fábricas/varejo",Média-alta,exame.com/negocios/o-que-e-petiko-caixas-assinatura-box-produtos-pet-cao-gato; blog.petiko.com.br/box-petiko-o-maior-clube-de-assinaturas-pet-do-brasil,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Petlove (Repet / Clube Petlove),Clubes de Assinatura,Recompra recorrente de ração/produtos pet,petlove.com.br,Repet com 10% de desconto em compras recorrentes automáticas,250 mil assinaturas ativas no clube; empresa de grande porte no setor pet,Média,petlove.com.br/dicas/assinatura-petlove-mais-economia-e-comodidade-pra-voce-e-seu-pet; brasil247.com/parceiros/petlove-lanca-clube-de-descontos,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Liv Up,Clubes de Assinatura,Alimentação saudável - marmitas/refeições congeladas por assinatura,livup.com.br/assinatura,Assinatura recorrente de kits de marmitas (preço variável),"Faturamento de R$270 mi em 2025 (~R$22,5 mi/mês), crescimento de 70% a/a, EBITDA de R$36 mi",Alta,bloomberglinea.com.br/negocios/liv-up-cresce-70-em-um-ano-com-marmita-caseira; exame.com/negocios/como-a-liv-up-reinventou-a-propria-receita,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Localiza Meoo,Clubes de Assinatura,Assinatura de carros (aluguel + manutenção inclusa),meoo.localiza.com,Mensalidade calculada por franquia de km (1.000 a 5.000 km/mês),"""Principal benchmark"" do setor (mercado total de 180 mil veículos por assinatura no Brasil, +44% em 2024); receita do segmento cresceu 17% em 2025 dentro da Localiza (RENT3)",Média,neofeed.com.br/brand-stories/apresentado-por-localiza-meoo/na-corrida-pela-mobilidade-localiza-meoo-acelera-o-carro-por-assinatura,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Coffee Mais (Clube Coffee++),Clubes de Assinatura,Clube de assinatura de café especial,coffeemais.com,"Mensal com 15% de desconto fixo + frete R$7,99; anual até 40% de desconto","~4 mil assinantes (20% do faturamento total); faturou R$16 mi no 1º ano (2021), crescimento de 42-56% em anos seguintes",Média,checkcommerce.com.br/blogs/cases/do-0-a-16-milhoes-coffee-faturamento-surpreendente-no-1-ano; diariodocomercio.com.br/negocios/coffee-quer-democratizar-consumo-cafes-especiais,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Kovi,Clubes de Assinatura,Assinatura de carros (aluguel semanal/mensal com manutenção inclusa),kovi.com.br,"Modelo ""pague o que rodar"", plano anual com caução de R$1.200",10 mil assinantes Brasil+México; captou R$500 mi (US$100 mi) em rodada de investimento (dados desatualizados 2020-21),Baixa-média,infomoney.com.br/negocios/kovi-recebe-r-500-milhoes-para-ampliar-aluguel-de-carros; cnnbrasil.com.br/auto/startup-de-carros-por-assinatura-kovi-recebe-aporte-de-us-100-milhoes,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Divvino - ClubeD,Clubes de Assinatura,Clube de assinatura de vinhos,divvino.com.br/clubed,"4 modalidades, 2 ou 4 garrafas/mês; Classic a partir de R$60/garrafa, Selection a partir de R$133/garrafa","Rede nacional de lojas de vinho consolidada, mas sem número de assinantes ou faturamento do clube divulgado publicamente",Baixa,divvino.com.br/blog/clubed; divvino.com.br/clubed,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
Diário do Chá - Clube do Chá,Clubes de Assinatura,Clube de assinatura de chás,diariodocha.com.br/o-clube,Box mensal de chás (preço não confirmado),"Autodenominado ""maior clube de assinatura de chás do Brasil"" desde 2016; crescimento de 280% na pandemia — sem faturamento público",Baixa,3talheres.com.br/clube-de-assinaturas-diario-do-cha-cresce-durante-pandemia; diariodocha.com.br/o-clube,CEO/Fundador; Diretor(a) de Marketing; Head de CRM/Assinaturas
